,0
0,'71 (2014)
1,'Hellboy': The Seeds of Creation (2004)
2,'Round Midnight (1986)
3,'Salem's Lot (2004)
4,'Til There Was You (1997)
5,'Tis the Season for Love (2015)
6,"'burbs, The (1989)"
7,'night Mother (1986)
8,(500) Days of Summer (2009)
9,*batteries not included (1987)
10,...All the Marbles (1981)
11,...And Justice for All (1979)
12,00 Schneider - Jagd auf Nihil Baxter (1994)
13,1-900 (06) (1994)
14,10 (1979)
15,10 Cent Pistol (2015)
16,10 Cloverfield Lane (2016)
17,10 Items or Less (2006)
18,10 Things I Hate About You (1999)
19,10 Years (2011)
20,"10,000 BC (2008)"
21,100 Girls (2000)
22,100 Streets (2016)
23,101 Dalmatians (1996)
24,101 Dalmatians (One Hundred and One Dalmatians) (1961)
25,101 Dalmatians II: Patch's London Adventure (2003)
26,101 Reykjavik (101 Reykjavík) (2000)
27,102 Dalmatians (2000)
28,10th & Wolf (2006)
29,"10th Kingdom, The (2000)"
30,"10th Victim, The (La decima vittima) (1965)"
31,"11'09""01 - September 11 (2002)"
32,11:14 (2003)
33,"11th Hour, The (2007)"
34,12 Angry Men (1957)
35,12 Angry Men (1997)
36,12 Chairs (1971)
37,12 Chairs (1976)
38,12 Rounds (2009)
39,12 Years a Slave (2013)
40,127 Hours (2010)
41,13 Assassins (Jûsan-nin no shikaku) (2010)
42,13 Ghosts (1960)
43,13 Going on 30 (2004)
44,13 Hours (2016)
45,13 Sins (2014)
46,13 Tzameti (2005)
47,13th (2016)
48,"13th Warrior, The (1999)"
49,1408 (2007)
50,1492: Conquest of Paradise (1992)
51,15 Minutes (2001)
52,16 Blocks (2006)
53,17 Again (2009)
54,1776 (1972)
55,18 Again! (1988)
56,187 (One Eight Seven) (1997)
57,1900 (Novecento) (1976)
58,1941 (1979)
59,1969 (1988)
60,1984 (Nineteen Eighty-Four) (1984)
61,2 Days in New York (2012)
62,2 Days in Paris (2007)
63,2 Days in the Valley (1996)
64,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"
65,2 Guns (2013)
66,20 Dates (1998)
67,20 Feet from Stardom (Twenty Feet from Stardom) (2013)
68,20 Million Miles to Earth (1957)
69,"20,000 Days on Earth (2014)"
70,"20,000 Leagues Under the Sea (1916)"
71,"20,000 Leagues Under the Sea (1954)"
72,200 Cigarettes (1999)
73,2001 Maniacs (2005)
74,2001: A Space Odyssey (1968)
75,2010: The Year We Make Contact (1984)
76,2012 (2009)
77,2046 (2004)
78,2048: Nowhere to Run (2017)
79,21 (2008)
80,21 Grams (2003)
81,21 Jump Street (2012)
82,21 Up (1977)
83,21 and Over (2013)
84,22 Jump Street (2014)
85,24 Hour Party People (2002)
86,25th Hour (2002)
87,27 Dresses (2008)
88,28 Days (2000)
89,28 Days Later (2002)
90,28 Up (1985)
91,28 Weeks Later (2007)
92,3 Days to Kill (2014)
93,3 Extremes (Three... Extremes) (Saam gaang yi) (2004)
94,3 Idiots (2009)
95,3 Ninjas (1992)
